26590	柞	zok6	ts	ok	陽入	在學
31066	祚	zou6	ts	ou	陽去	在路
32985	胙	zou6	ts	ou	陽去	在路
38460	阼	zou6	ts	ou	陽去	在路
34481	蚱	zhak1	ch	a’k	陰入	之則
20046	乎	wu4	X	oo	陽平	喻烏
21628	呼	fu1	f	oo	陰平	非烏
131220	𠂔	zz2	ts	ze	陰上	則子
22986	姊	zz2	ts	ze	陰上	則子
31531	笫	zz2	ts	ze	陰上	則子
20047	乏	faat6	f	at	陽入	扶八
27867	泛	faan3	f	an	陰去	非犯
36022	貶	bin2	p	een	陰上	丙典
131234	𠂢	paai3	p’	ea	陰去	篇界
27966	派	paai3	p’	ea	陰去	篇界
33032	脈	mak6	m	a’k	陽入	明則
20054	乖	gwaai1	k	wae	陰平	見乖
20056	乘	shing4	s’	ing	陽平	時丁
20055	乗	shing4	s’	ing	陽平	時丁
20056	乘	shing6	s’	ing	陽去	時正
20055	乗	shing6	s’	ing	陽去	時正
21097	剩	shing6	s’	ing	陽去	時正
20057	乙	jyut1	X	üt	陰入	烏乙
20060	乜	mat1	m	a’t	陰入	乜不
20061	九	gau2	k	ow	陰上	見九
31350	究	gau3	k	ow	陰去	見又
40169	鳩	gau1	k	ow	陰平	見由
20167	仇	kau4	k’	ow	陽平	其由
15197	㭝	kau4	k’	ow	陽平	其由
23428	宄	gwai2	k	wy	陰上	見鬼
36556	軌	gwai2	k	wy	陰上	見鬼
26093	旭	huk1	h	uk	陰入	可卜
20062	乞	hat1	h	a’t	陰入	可不
40789	齕	hat6	h	a’t	陽入	下不
32007	紇	hat6	h	a’t	陽入	下不
35350	訖	gat1	k	a’t	陰入	見不
21507	吃	gat1	k	a’t	陰入	見不
36804	迄	ngat6	ng	a’t	陽入	岸不
23673	屹	ngat6	ng	a’t	陽入	岸不
20063	也	jaa5	y	a[r]	陽上	由也
27744	池	chi4	ch’	e	陽平	長希
39347	馳	chi4	ch’	e	陽平	長希
24347	弛	chi2	ch’	e	陰上	丑始
20182	他	taa1	t’	a[r]	陰平	太加
22320	地	dei6	t	ěy	陽去	大利
39650	髢	twai3	t’	wy	陰去	太位
13324	㐌	hi4	h	e	陽平	下希
38465	陁	to4	t’	o[r]	陽平	同何
25302	拖	to1	t’	o[r]	陰平	太何
20101	亅	kyut1	k’	üt	陰入	啟乙
20102	了	liu5	l	ew	陽上	耒小
20104	予	jyu4	X	ü	陽平	喻於
20104	予	jyu5	X	ü	陽上	喻語
22948	妤	jyu4	X	ü	陽平	喻於
35947	豫	jyu6	X	ü	陽去	喻去
38928	預	jyu6	X	ü	陽去	喻去
32019	紓	shyu1	s’	ü	陰平	審於
33298	舒	shyu1	s’	ü	陰平	審於
26492	杼	chyu5	ch’	ü	陽上	長語
24207	序	zyu6	ts	üy	陽去	在序
20107	事	sz6	s	ze	陽去	士士
20108	二	nji6	j	e	陽去	言至
20110	于	jyu4	X	ü	陽平	喻於
21505	吁	hyu1	h	ü	陰平	可於
36802	迂	hyu1	h	ü	陰平	可於
31485	竽	jyu4	X	ü	陽平	喻於
30402	盂	jyu4	X	ü	陽平	喻於
23431	宇	jyu5	X	ü	陽上	喻語
27737	汙	waa1	X	wa	陰平	烏華
20111	亏	jyu4	X	ü	陽平	喻於
27745	污	wu1	X	oo	陰平	烏烏
27738	汚	wu1	X	oo	陰平	烏烏
22316	圬	wu1	X	oo	陰平	烏烏
26439	杇	wu1	X	oo	陰平	烏烏
34407	虧	fai1	f	y	陰平	非西
20113	云	wan4	X	wa’n	陽平	喻君
39746	魂	wan4	X	wa’n	陽平	喻君
32028	紜	wan4	X	wa’n	陽平	喻君
33464	芸	wan4	X	wa’n	陽平	喻君
32792	耘	wan4	X	wa’n	陽平	喻君
38642	雲	wan4	X	wa’n	陽平	喻君
20114	互	wu6	X	oo	陽去	喻父
20116	五	ng5	X	ng	陽上	喻五
20237	伍	ng5	X	ng	陽上	喻五
20117	井	zing2	ts	ing	陰上	則丙
38449	阱	zing6	ts	ing	陽去	在正
31357	穽	zing6	ts	ing	陽去	在正
