1F476	1F476.1F3FB
1F9D9	1F9D9.1F3FB
1F9D9.200D.2642.FE0F	1F9D9.1F3FB.200D.2642.FE0F
1F9D9.200D.2640.FE0F	1F9D9.1F3FB.200D.2640.FE0F
1F9DA	1F9DA.1F3FB
1F9DA.200D.2642.FE0F	1F9DA.1F3FB.200D.2642.FE0F
1F9DA.200D.2640.FE0F	1F9DA.1F3FB.200D.2640.FE0F
1F9DB	1F9DB.1F3FB
1F9DB.200D.2642.FE0F	1F9DB.1F3FB.200D.2642.FE0F
1F9DB.200D.2640.FE0F	1F9DB.1F3FB.200D.2640.FE0F
1F9DC.200D.2642.FE0F	1F9DC.1F3FB.200D.2642.FE0F
1F9DC.200D.2640.FE0F	1F9DC.1F3FB.200D.2640.FE0F
1F9DD	1F9DD.1F3FB
1F9DD.200D.2642.FE0F	1F9DD.1F3FB.200D.2642.FE0F
1F9DD.200D.2640.FE0F	1F9DD.1F3FB.200D.2640.FE0F
1F486.200D.2642.FE0F	1F486.1F3FB.200D.2642.FE0F
1F486.200D.2640.FE0F	1F486.1F3FB.200D.2640.FE0F
1F487.200D.2642.FE0F	1F487.1F3FB.200D.2642.FE0F
1F487.200D.2640.FE0F	1F487.1F3FB.200D.2640.FE0F
1F6B6.200D.2642.FE0F	1F6B6.1F3FB.200D.2642.FE0F
1F6B6.200D.2640.FE0F	1F6B6.1F3FB.200D.2640.FE0F
1F6B6.200D.2640.FE0F.200D.27A1.FE0F	1F6B6.1F3FB.200D.2640.FE0F.200D.27A1.FE0F
1F6B6.200D.2642.FE0F.200D.27A1.FE0F	1F6B6.1F3FB.200D.2642.FE0F.200D.27A1.FE0F
1F9CD.200D.2642.FE0F	1F9CD.1F3FB.200D.2642.FE0F
1F9CD.200D.2640.FE0F	1F9CD.1F3FB.200D.2640.FE0F
1F9CE.200D.2642.FE0F	1F9CE.1F3FB.200D.2642.FE0F
1F9CE.200D.2640.FE0F	1F9CE.1F3FB.200D.2640.FE0F
1F9CE.200D.2640.FE0F.200D.27A1.FE0F	1F9CE.1F3FB.200D.2640.FE0F.200D.27A1.FE0F
1F9CE.200D.2642.FE0F.200D.27A1.FE0F	1F9CE.1F3FB.200D.2642.FE0F.200D.27A1.FE0F
1F468.200D.1F9AF	1F468.1F3FB.200D.1F9AF
1F468.200D.1F9AF.200D.27A1.FE0F	1F468.1F3FB.200D.1F9AF.200D.27A1.FE0F
1F469.200D.1F9AF	1F469.1F3FB.200D.1F9AF
1F469.200D.1F9AF.200D.27A1.FE0F	1F469.1F3FB.200D.1F9AF.200D.27A1.FE0F
1F468.200D.1F9BC	1F468.1F3FB.200D.1F9BC
1F468.200D.1F9BC.200D.27A1.FE0F	1F468.1F3FB.200D.1F9BC.200D.27A1.FE0F
1F469.200D.1F9BC	1F469.1F3FB.200D.1F9BC
1F469.200D.1F9BC.200D.27A1.FE0F	1F469.1F3FB.200D.1F9BC.200D.27A1.FE0F
1F468.200D.1F9BD	1F468.1F3FB.200D.1F9BD
1F468.200D.1F9BD.200D.27A1.FE0F	1F468.1F3FB.200D.1F9BD.200D.27A1.FE0F
1F469.200D.1F9BD	1F469.1F3FB.200D.1F9BD
1F469.200D.1F9BD.200D.27A1.FE0F	1F469.1F3FB.200D.1F9BD.200D.27A1.FE0F
1F3C3.200D.2642.FE0F	1F3C3.1F3FB.200D.2642.FE0F
1F3C3.200D.2640.FE0F	1F3C3.1F3FB.200D.2640.FE0F
1F3C3.200D.2640.FE0F.200D.27A1.FE0F	1F3C3.1F3FB.200D.2640.FE0F.200D.27A1.FE0F
1F3C3.200D.2642.FE0F.200D.27A1.FE0F	1F3C3.1F3FB.200D.2642.FE0F.200D.27A1.FE0F
1F483	1F483.1F3FB
1F57A	1F57A.1F3FB
1F9D6.200D.2642.FE0F	1F9D6.1F3FB.200D.2642.FE0F
1F9D6.200D.2640.FE0F	1F9D6.1F3FB.200D.2640.FE0F
1F9D7.200D.2642.FE0F	1F9D7.1F3FB.200D.2642.FE0F
1F9D7.200D.2640.FE0F	1F9D7.1F3FB.200D.2640.FE0F
1F3C7	1F3C7.1F3FB
1F3C2	1F3C2.1F3FB
1F3CC.200D.2642.FE0F	1F3CC.1F3FB.200D.2642.FE0F
1F3CC.200D.2640.FE0F	1F3CC.1F3FB.200D.2640.FE0F
1F3C4.200D.2642.FE0F	1F3C4.1F3FB.200D.2642.FE0F
1F3C4.200D.2640.FE0F	1F3C4.1F3FB.200D.2640.FE0F
1F6A3.200D.2642.FE0F	1F6A3.1F3FB.200D.2642.FE0F
1F6A3.200D.2640.FE0F	1F6A3.1F3FB.200D.2640.FE0F
1F3CA.200D.2642.FE0F	1F3CA.1F3FB.200D.2642.FE0F
1F3CA.200D.2640.FE0F	1F3CA.1F3FB.200D.2640.FE0F
26F9.200D.2642.FE0F	26F9.1F3FB.200D.2642.FE0F
26F9.200D.2640.FE0F	26F9.1F3FB.200D.2640.FE0F
1F3CB.200D.2642.FE0F	1F3CB.1F3FB.200D.2642.FE0F
1F3CB.200D.2640.FE0F	1F3CB.1F3FB.200D.2640.FE0F
1F6B4.200D.2642.FE0F	1F6B4.1F3FB.200D.2642.FE0F
1F6B4.200D.2640.FE0F	1F6B4.1F3FB.200D.2640.FE0F
1F6B5.200D.2642.FE0F	1F6B5.1F3FB.200D.2642.FE0F
1F6B5.200D.2640.FE0F	1F6B5.1F3FB.200D.2640.FE0F
1F938.200D.2642.FE0F	1F938.1F3FB.200D.2642.FE0F
1F938.200D.2640.FE0F	1F938.1F3FB.200D.2640.FE0F
1F93D.200D.2642.FE0F	1F93D.1F3FB.200D.2642.FE0F
1F93D.200D.2640.FE0F	1F93D.1F3FB.200D.2640.FE0F
1F93E.200D.2642.FE0F	1F93E.1F3FB.200D.2642.FE0F
1F93E.200D.2640.FE0F	1F93E.1F3FB.200D.2640.FE0F
1F939.200D.2642.FE0F	1F939.1F3FB.200D.2642.FE0F
1F939.200D.2640.FE0F	1F939.1F3FB.200D.2640.FE0F
1F9D8.200D.2642.FE0F	1F9D8.1F3FB.200D.2642.FE0F
1F9D8.200D.2640.FE0F	1F9D8.1F3FB.200D.2640.FE0F
1F46D	1F46D.1F3FB
1F46B	1F46B.1F3FB
1F46C	1F46C.1F3FB
1F469.200D.2764.FE0F.200D.1F48B.200D.1F468	1F469.1F3FB.200D.2764.FE0F.200D.1F48B.200D.1F468.1F3FB
1F469.200D.2764.FE0F.200D.1F468	1F469.1F3FB.200D.2764.FE0F.200D.1F468.1F3FB
