⺤	⺥
望	望
杓	杓
㭉	㭉
枅	枅
桒	桒
栟	栟
楂	楂
櫛	櫛
𣢧	𣢧
𣪍	𣪍
𣫺	𣫺
汧	汧
流	流
浩	浩
洴	洴
㴳	㴳
滋	滋
滇	滇
淹	淹
潮	潮
濆	濆
𤉣	𤉣
爵	爵
犕	犕
𤜵	𤜵
瑇	瑇
瑜	瑜
𥁄	𥁄
㿼	㿼
䀈	䀈
直	直
𥃳	𥃳
瞋	瞋
𥐝	𥐝
䃣	䃣
䄯	䄯
穊	穊
穏	穏
𥪧	𥪧
竮	竮
䈂	䈂
䈧	䈧
糒	糒
䊠	䊠
絣	絣
䌁	䌁
縂	縂
𦉇	𦉇
𦌾	𦌾
者	者
聠	聠
育	育
䐋	䐋
𦞧	𦞧
𣎜	𣎜
䑫	䑫
劳	劳
芽	芽
𦬼	𦬼
茝	茝
荣	荣
荓	荓
𦳕	𦳕
䔫	䔫
蓱	蓱
蓳	蓳
𧏊	𧏊
𧃒	𧃒
蚈	蚈
蛢	蛢
蝫	蝫
䗗	䗗
蟡	蟡
蠁	蠁
䗹	䗹
衠	衠
裗	裗
𧥦	𧥦
䚾	䚾
諭	諭
𧲨	𧲨
賁	賁
𧼯	𧼯
趼	趼
跰	跰
輸	輸
郱	郱
𨜮	𨜮
鉼	鉼
䦕	䦕
𨵷	𨵷
雃	雃
𩈚	𩈚
䪲	䪲
頩	頩
䯎	䯎
鱀	鱀
鳽	鳽
鵧	鵧
𪃎	𪃎
𪊑	𪊑
鼖	鼖
𪘀	𪘀

# excluded
# 勻	匀
# 免	免
# 免	免
# 兔	兔
# 冤	冤
#
# 嫩	㜛
# 牬	㸬
# 瓥	㼖
# 蠫	劙
# 勗	勖
# 奩	匳
# 雟	巂
# 匆	悤
# 浂	泆
# 潃	滫
# 床	牀
# 秘	祕
# 袮	祢
# 笻	筇
# 繌	緵
# 卧	臥
# 薞	蕵
# 裡	裏
# 蒏	醟
# 鋄	錽
# 覇	霸
# 叱	𠮟
# 濍	𤁬
# 焨	𤊻
# 羿	𦐧
# 虀	𧆌
# 邍	𨙅
