⺤	⺥
𤽐	敀
𤽑	敀
教	敎
敚	敓
𢾍	敖
𢾕	敖
𢻎	散
𭣹	散
𭣿	敧
𢻗	敮
㪣	敲
𫾣	敲
𢿙	數
夐	敻
𢿌	敻
敿	敽
𢻤	敽
𢻧	斀
𣀈	斀
螤	斔
𣂷	斳
𣂼	斳
㫌	旋
𭥃	旖
既	旣
𣅀	旨
峕	旹
𣅐	旻
昻	昂
𣆃	昜
𣆄	昜
晋	晉
𫞄	晉
𣈆	晉
𣇈	晓
晩	晚
曍	暭
暨	曁
𣉊	曉
𣋡	曚
曵	曳
㬅	曼
𭦟	曼
曽	曾
𬚽	朙
朶	朵
𣏓	杇
𠄬	枣
𡗭	枣
柺	枴
栅	柵
查	査
柡	栐
𱣎	桀
𫞉	桺
鿄	梁
𭛹	條
𭐧	梦
棁	梲
𬃪	椅
榆	楡
𬃜	楨
榅	榲
𣙜	榷
槙	槇
㮣	槩
概	槪
𪳝	槱
橰	槹
𣙁	樝
榝	樧
𣝢	樸
𣜀	樾
𣜝	橍
𰘴	橑
横	橫
㰇	櫼
𣟬	欄
櫸	欅
𣟱	欅
𣣱	欹
㰱	歃
歩	步
歳	歲
𫞓	歲
𠧔	歺
殁	歿
殱	殲
殻	殼
毁	毀
毎	每
𣮟	毵
𫞕	氏
𫞖	民
氲	氳
𣱵	永
𣲅	江
𣲄	汣
没	沒
𣳅	沵
𭰝	洍
𣵗	洖
𣴑	流
𣵀	涅
渉	涉
㳙	涓
涚	涗
涙	淚
𣴤	淢
渌	淥
𭓻	淧
浄	淨
清	淸
𰜟	渏
𣴪	渒
涣	渙
渇	渴
𣷍	湄
𭰫	湎
温	溫
𣿗	滶
滚	滾
𭑞	漁
𣻔	漂
溉	漑
𣻌	漾
潨	潀
溈	潙
濳	潛
澙	潟
𣿳	潦
𣽽	潸
濓	濂
𣿰	濬
𤀹	濬
濲	瀔
瀬	瀨
瀐	瀸
𢌇	灋
𤂦	灌
𫞞	灌
𪸓	炁
奌	点
熙	煕
𤋮	煕
焭	煢
𠙦	煢
焕	煥
煴	熅
𤋱	熏
𤏺	熬
𤐗	燎
𤒄	燫
𤐭	燽
𤑕	爋
𤑛	爋
争	爭
為	爲
𡙁	爽
𫝃	爾
𫵠	犀
𰠸	犄
𤝝	狝
𭸟	猗
𫞤	猿
奬	獎
𤢝	獒
獋	獔
𤢙	獠
𤡯	獡
𫉬	獲
𤢪	獵
𤣥	玄
𤣱	玘
𤤙	玴
㻆	琄
𤥨	琢
𤦺	琦
𤦛	瑁
𤥺	瑍
𤨁	瑨
𤨼	璋
𤪃	璙
𤩹	璧
𭺊	瓈
𤓰	瓜
𭺛	瓦
𭺜	瓦
瓶	甁
𠥄	甚
𫞪	甚
産	產
𤰱	画
𢌿	畀
𤱑	畞
𤲃	畢
𭺾	畢
畨	番
畵	畫
